,Dominant Topic,Keywords,Number of Documents,(Doc) Percentage
1046,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1047,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1048,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1049,10.0,"people, life, man, child, make, love, time, die, live, woman",,
1050,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
1051,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1052,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1053,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
1054,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1055,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",,
1056,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
1057,21.0,"time, point, find, problem, number, change, give, call, work, start",,
1058,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
1059,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1060,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1061,11.0,"file, line, program, entry, number, build, read, info, follow, return",,
1062,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1063,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1064,16.0,"high, water, food, eat, report, increase, time, day, low, make",,
1065,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1066,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1067,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1068,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
1069,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
1070,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
1071,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1072,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1073,19.0,"ax, line, _, part, ad, end, ei, tq, cut, pl_pl",,
1074,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1075,10.0,"people, life, man, child, make, love, time, die, live, woman",,
1076,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
1077,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1078,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1079,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",,
1080,0.0,"good, thing, make, bad, lot, pretty, hear, hard, put, guy",,
1081,11.0,"file, line, program, entry, number, build, read, info, follow, return",,
1082,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
1083,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1084,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1085,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1086,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1087,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
1088,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1089,4.0,"leave, start, people, happen, time, day, back, home, hear, face",,
1090,29.0,"book, reference, part, include, copy, find, paper, information, call, author",,
1091,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
1092,10.0,"people, life, man, child, make, love, time, die, live, woman",,
1093,7.0,"window, application, set, run, server, display, call, widget, program, client",,
1094,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1095,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1096,3.0,"question, claim, true, reason, answer, argument, make, evidence, truth, fact",,
1097,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
1098,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
1099,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1100,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1101,7.0,"window, application, set, run, server, display, call, widget, program, client",,
1102,14.0,"israeli, state, war, attack, give, country, land, jewish, peace, people",,
1103,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
1104,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1105,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1106,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
1107,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1108,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1109,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1110,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1111,29.0,"book, reference, part, include, copy, find, paper, information, call, author",,
1112,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1113,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
1114,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
1115,27.0,"work, make, job, people, time, talk, today, year, question, president",,
1116,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1117,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
1118,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1119,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1120,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1121,27.0,"work, make, job, people, time, talk, today, year, question, president",,
1122,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1123,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1124,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1125,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1126,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1127,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
1128,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
1129,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1130,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
1131,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
1132,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
1133,14.0,"israeli, state, war, attack, give, country, land, jewish, peace, people",,
1134,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
1135,27.0,"work, make, job, people, time, talk, today, year, question, president",,
1136,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1137,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
1138,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1139,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1140,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1141,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1142,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1143,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1144,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
1145,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
1146,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1147,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1148,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1149,10.0,"people, life, man, child, make, love, time, die, live, woman",,
1150,11.0,"file, line, program, entry, number, build, read, info, follow, return",,
1151,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
1152,20.0,"armenian, people, turkish, kill, government, history, year, force, muslim, body",,
1153,21.0,"time, point, find, problem, number, change, give, call, work, start",,
1154,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1155,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
1156,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
1157,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1158,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
1159,16.0,"high, water, food, eat, report, increase, time, day, low, make",,
1160,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1161,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1162,7.0,"window, application, set, run, server, display, call, widget, program, client",,
1163,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1164,3.0,"question, claim, true, reason, answer, argument, make, evidence, truth, fact",,
1165,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1166,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1167,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1168,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1169,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1170,0.0,"good, thing, make, bad, lot, pretty, hear, hard, put, guy",,
1171,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1172,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
1173,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1174,4.0,"leave, start, people, happen, time, day, back, home, hear, face",,
1175,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1176,11.0,"file, line, program, entry, number, build, read, info, follow, return",,
1177,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
1178,7.0,"window, application, set, run, server, display, call, widget, program, client",,
1179,7.0,"window, application, set, run, server, display, call, widget, program, client",,
1180,4.0,"leave, start, people, happen, time, day, back, home, hear, face",,
1181,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
1182,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1183,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
1184,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1185,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",,
1186,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1187,10.0,"people, life, man, child, make, love, time, die, live, woman",,
1188,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
1189,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1190,4.0,"leave, start, people, happen, time, day, back, home, hear, face",,
1191,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
1192,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
1193,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
1194,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1195,20.0,"armenian, people, turkish, kill, government, history, year, force, muslim, body",,
1196,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
1197,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1198,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1199,4.0,"leave, start, people, happen, time, day, back, home, hear, face",,
1200,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1201,7.0,"window, application, set, run, server, display, call, widget, program, client",,
1202,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1203,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1204,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1205,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
1206,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1207,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1208,14.0,"israeli, state, war, attack, give, country, land, jewish, peace, people",,
1209,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1210,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
1211,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1212,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1213,7.0,"window, application, set, run, server, display, call, widget, program, client",,
1214,16.0,"high, water, food, eat, report, increase, time, day, low, make",,
1215,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1216,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
1217,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1218,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1219,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1220,7.0,"window, application, set, run, server, display, call, widget, program, client",,
1221,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1222,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1223,20.0,"armenian, people, turkish, kill, government, history, year, force, muslim, body",,
1224,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
1225,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
1226,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1227,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1228,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
1229,29.0,"book, reference, part, include, copy, find, paper, information, call, author",,
1230,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1231,21.0,"time, point, find, problem, number, change, give, call, work, start",,
1232,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1233,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1234,29.0,"book, reference, part, include, copy, find, paper, information, call, author",,
1235,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1236,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",,
1237,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1238,21.0,"time, point, find, problem, number, change, give, call, work, start",,
1239,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
1240,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
1241,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1242,7.0,"window, application, set, run, server, display, call, widget, program, client",,
1243,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
1244,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1245,10.0,"people, life, man, child, make, love, time, die, live, woman",,
1246,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1247,14.0,"israeli, state, war, attack, give, country, land, jewish, peace, people",,
1248,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1249,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
1250,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
1251,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1252,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1253,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1254,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1255,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1256,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1257,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
1258,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
1259,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
1260,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1261,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1262,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
1263,20.0,"armenian, people, turkish, kill, government, history, year, force, muslim, body",,
1264,14.0,"israeli, state, war, attack, give, country, land, jewish, peace, people",,
1265,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1266,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
1267,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1268,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1269,7.0,"window, application, set, run, server, display, call, widget, program, client",,
1270,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
1271,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1272,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
1273,27.0,"work, make, job, people, time, talk, today, year, question, president",,
1274,14.0,"israeli, state, war, attack, give, country, land, jewish, peace, people",,
1275,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1276,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
1277,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1278,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1279,21.0,"time, point, find, problem, number, change, give, call, work, start",,
1280,7.0,"window, application, set, run, server, display, call, widget, program, client",,
1281,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1282,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1283,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1284,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1285,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1286,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
1287,20.0,"armenian, people, turkish, kill, government, history, year, force, muslim, body",,
1288,16.0,"high, water, food, eat, report, increase, time, day, low, make",,
1289,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
1290,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1291,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
1292,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1293,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1294,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
1295,4.0,"leave, start, people, happen, time, day, back, home, hear, face",,
1296,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1297,7.0,"window, application, set, run, server, display, call, widget, program, client",,
1298,3.0,"question, claim, true, reason, answer, argument, make, evidence, truth, fact",,
1299,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1300,7.0,"window, application, set, run, server, display, call, widget, program, client",,
1301,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1302,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1303,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
1304,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1305,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
1306,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",,
1307,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1308,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1309,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1310,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1311,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
1312,16.0,"high, water, food, eat, report, increase, time, day, low, make",,
1313,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1314,7.0,"window, application, set, run, server, display, call, widget, program, client",,
1315,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1316,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1317,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
1318,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1319,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
1320,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1321,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",,
1322,3.0,"question, claim, true, reason, answer, argument, make, evidence, truth, fact",,
1323,10.0,"people, life, man, child, make, love, time, die, live, woman",,
1324,10.0,"people, life, man, child, make, love, time, die, live, woman",,
1325,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
1326,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
1327,21.0,"time, point, find, problem, number, change, give, call, work, start",,
1328,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1329,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1330,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
1331,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",,
1332,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1333,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1334,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1335,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
1336,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1337,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1338,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
1339,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1340,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1341,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
1342,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1343,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
1344,3.0,"question, claim, true, reason, answer, argument, make, evidence, truth, fact",,
1345,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
1346,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1347,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
1348,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1349,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1350,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1351,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1352,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1353,0.0,"good, thing, make, bad, lot, pretty, hear, hard, put, guy",,
1354,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
1355,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1356,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
1357,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
1358,0.0,"good, thing, make, bad, lot, pretty, hear, hard, put, guy",,
1359,26.0,"study, doctor, patient, problem, test, disease, medical, treatment, pain, effect",,
1360,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1361,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
1362,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
1363,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1364,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
1365,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1366,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1367,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1368,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1369,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1370,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1371,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
1372,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1373,31.0,"write, article, line, read, organization, post, mention, delete, net, wrong",,
1374,9.0,"exist, atheist, human, system, moral, people, science, existence, religion, thing",,
1375,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
1376,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1377,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
1378,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
1379,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1380,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
1381,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1382,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1383,2.0,"line, host, organization, write, nntp_posting, reply, article, hear, keyword, news",,
1384,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1385,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1386,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
1387,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
1388,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1389,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
1390,27.0,"work, make, job, people, time, talk, today, year, question, president",,
1391,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1392,30.0,"line, sell, mail, price, interested, sale, phone, find, offer, call",,
1393,15.0,"year, pay, cost, money, buy, make, price, company, market, service",,
1394,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
1395,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
1396,10.0,"people, life, man, child, make, love, time, die, live, woman",,
1397,5.0,"key, encryption, system, chip, government, bit, security, public, technology, secure",,
1398,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
1399,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1400,13.0,"gun, kill, fire, weapon, crime, criminal, firearm, shoot, people, police",,
1401,16.0,"high, water, food, eat, report, increase, time, day, low, make",,
1402,10.0,"people, life, man, child, make, love, time, die, live, woman",,
1403,4.0,"leave, start, people, happen, time, day, back, home, hear, face",,
1404,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1405,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1406,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1407,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1408,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1409,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1410,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1411,29.0,"book, reference, part, include, copy, find, paper, information, call, author",,
1412,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1413,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1414,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
1415,14.0,"israeli, state, war, attack, give, country, land, jewish, peace, people",,
1416,18.0,"post, mail, send, information, message, list, address, group, internet, network",,
1417,3.0,"question, claim, true, reason, answer, argument, make, evidence, truth, fact",,
1418,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
1419,16.0,"high, water, food, eat, report, increase, time, day, low, make",,
1420,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1421,29.0,"book, reference, part, include, copy, find, paper, information, call, author",,
1422,14.0,"israeli, state, war, attack, give, country, land, jewish, peace, people",,
1423,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1424,7.0,"window, application, set, run, server, display, call, widget, program, client",,
1425,8.0,"law, state, people, person, public, vote, government, individual, issue, bill",,
1426,28.0,"people, government, case, make, write, drug, fact, freedom, article, organization",,
1427,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1428,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1429,6.0,"problem, card, work, driver, window, line, monitor, video, run, color",,
1430,23.0,"power, ground, wire, current, line, work, light, high, cable, signal",,
1431,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1432,17.0,"space, launch, system, satellite, project, earth, mission, technology, orbit, design",,
1433,24.0,"game, team, play, year, player, win, season, fan, run, score",,
1434,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
1435,25.0,"image, software, file, program, version, package, support, include, graphic, format",,
1436,22.0,"word, christian, church, religion, faith, day, sin, people, speak, scripture",,
1437,1.0,"drive, system, disk, speed, bit, chip, pc, memory, fast, run",,
1438,12.0,"car, bike, ride, drive, engine, road, mile, speed, oil, motorcycle",,
